Date,Time,WindSpeed(Km/h)
1/March/2014,9:0,28.8
1/March/2014,9:10,25.2
1/March/2014,9:20,25.2
1/March/2014,9:30,28.8
1/March/2014,9:40,25.2
1/March/2014,9:50,25.2
1/March/2014,10:0,25.2
1/March/2014,10:10,28.8
1/March/2014,10:20,32.4
1/March/2014,10:30,28.8
1/March/2014,10:40,32.4
1/March/2014,10:50,28.8
1/March/2014,11:0,28.8
1/March/2014,11:10,21.6
1/March/2014,11:20,25.2
1/March/2014,11:30,25.2
1/March/2014,11:40,25.2
1/March/2014,11:50,25.2
1/March/2014,12:0,21.6
1/March/2014,12:10,21.6
1/March/2014,12:20,21.6
1/March/2014,12:30,21.6
1/March/2014,12:40,21.6
1/March/2014,12:50,21.6
1/March/2014,13:0,18
1/March/2014,13:10,18
1/March/2014,13:20,10.8
1/March/2014,13:30,18
1/March/2014,13:40,18
1/March/2014,13:50,10.8
1/March/2014,14:0,14.4
1/March/2014,14:10,18
1/March/2014,14:20,18
1/March/2014,14:30,21.6
1/March/2014,14:40,25.2
1/March/2014,14:50,28.8
1/March/2014,15:0,25.2
1/March/2014,15:10,25.2
1/March/2014,15:20,28.8
1/March/2014,15:30,25.2
1/March/2014,15:40,25.2
1/March/2014,15:50,32.4
1/March/2014,16:0,28.8
1/March/2014,16:10,28.8
1/March/2014,16:20,25.2
1/March/2014,16:30,21.6
1/March/2014,16:40,21.6
1/March/2014,16:50,21.6
1/March/2014,17:0,18
1/March/2014,17:10,21.6
1/March/2014,17:20,18
1/March/2014,17:30,18
1/March/2014,17:40,21.6
1/March/2014,17:50,18
1/March/2014,18:0,18
1/March/2014,18:10,14.4
1/March/2014,18:20,18
1/March/2014,18:30,10.8
1/March/2014,18:40,14.4
1/March/2014,18:50,10.8
1/March/2014,19:0,10.8
1/March/2014,19:10,7.2
1/March/2014,19:20,10.8
1/March/2014,19:30,10.8
1/March/2014,19:40,3.6
1/March/2014,19:50,7.2
1/March/2014,20:0,14.4
1/March/2014,20:10,14.4
1/March/2014,20:20,14.4
1/March/2014,20:30,14.4
1/March/2014,20:40,14.4
1/March/2014,20:50,10.8
1/March/2014,21:0,7.2
1/March/2014,21:10,10.8
1/March/2014,21:20,10.8
1/March/2014,21:30,14.4
1/March/2014,21:40,10.8
1/March/2014,21:50,3.6
1/March/2014,22:0,3.6
1/March/2014,22:10,7.2
1/March/2014,22:20,3.6
1/March/2014,22:30,7.2
1/March/2014,22:40,10.8
1/March/2014,22:50,7.2
1/March/2014,23:0,10.8
1/March/2014,23:10,10.8
1/March/2014,23:20,3.6
1/March/2014,23:30,7.2
1/March/2014,23:40,7.2
1/March/2014,23:50,0
2/March/2014,0:0,0
2/March/2014,0:10,0
2/March/2014,0:20,0
2/March/2014,0:30,0
2/March/2014,0:40,0
2/March/2014,0:50,0
2/March/2014,1:0,0
2/March/2014,1:10,0
2/March/2014,1:20,0
2/March/2014,1:30,10.8
2/March/2014,1:40,14.4
2/March/2014,1:50,10.8
2/March/2014,2:0,10.8
2/March/2014,2:10,14.4
2/March/2014,2:20,14.4
2/March/2014,2:30,14.4
2/March/2014,2:40,7.2
2/March/2014,2:50,10.8
2/March/2014,3:0,14.4
2/March/2014,3:10,10.8
2/March/2014,3:20,3.6
2/March/2014,3:30,10.8
2/March/2014,3:40,7.2
2/March/2014,3:50,10.8
2/March/2014,4:0,3.6
2/March/2014,4:10,0
2/March/2014,4:20,3.6
2/March/2014,4:30,3.6
2/March/2014,4:40,0
2/March/2014,4:50,3.6
2/March/2014,5:0,0
2/March/2014,5:10,0
2/March/2014,5:20,0
2/March/2014,5:30,0
2/March/2014,5:40,0
2/March/2014,5:50,0
2/March/2014,6:0,0
2/March/2014,6:10,0
2/March/2014,6:20,0
2/March/2014,6:30,10.8
2/March/2014,6:40,10.8
2/March/2014,6:50,10.8
2/March/2014,7:0,10.8
2/March/2014,7:10,3.6
2/March/2014,7:20,0
2/March/2014,7:30,7.2
2/March/2014,7:40,10.8
2/March/2014,7:50,10.8
2/March/2014,8:0,14.4
2/March/2014,8:10,14.4
2/March/2014,8:20,14.4
2/March/2014,8:30,14.4
2/March/2014,8:40,14.4
2/March/2014,8:50,18
2/March/2014,9:0,18
2/March/2014,9:10,21.6
2/March/2014,9:20,21.6
2/March/2014,9:30,21.6
2/March/2014,9:40,21.6
2/March/2014,9:50,21.6
2/March/2014,10:0,18
2/March/2014,10:10,18
2/March/2014,10:20,18
2/March/2014,10:30,18
2/March/2014,10:40,18
2/March/2014,10:50,18
2/March/2014,11:0,14.4
2/March/2014,11:10,3.6
2/March/2014,11:20,10.8
2/March/2014,11:30,18
2/March/2014,11:40,14.4
2/March/2014,11:50,18
2/March/2014,12:0,21.6
2/March/2014,12:10,21.6
2/March/2014,12:20,21.6
2/March/2014,12:30,21.6
2/March/2014,12:40,18
2/March/2014,12:50,25.2
2/March/2014,13:0,25.2
2/March/2014,13:10,25.2
2/March/2014,13:20,28.8
2/March/2014,13:30,28.8
2/March/2014,13:40,28.8
2/March/2014,13:50,28.8
2/March/2014,14:0,32.4
2/March/2014,14:10,32.4
2/March/2014,14:20,32.4
2/March/2014,14:30,32.4
2/March/2014,14:40,32.4
2/March/2014,14:50,25.2
2/March/2014,15:0,25.2
2/March/2014,15:10,25.2
2/March/2014,15:20,28.8
2/March/2014,15:30,28.8
